"id","district_id","city"
979,122,Bijepur
980,14,Bijinapally
981,415,Bijni (Pt)
982,460,Bijnor
983,217,Bijoliya
984,309,Bikaner
985,461,Bikapur
986,229,Bikram
987,77,Bikramganj
988,185,Bikrampur
989,364,Bilaigarh
990,4,Bilara
991,462,Bilari
992,37,Bilasipara Pt
993,340,Bilaspur
994,411,Bilaspur
995,463,Bilaspur
996,464,Bilaspur
997,411,Bilaspur Sadar
998,465,Bilat Circle
999,257,Bilgi
1000,466,Bilgram
1001,411,Bilha
1002,467,Bilhaur
1003,468,Bilkhawthlir
1004,348,Billawar
1005,196,Biloli
1006,469,Bilsi
1007,339,Bina
1008,222,Bind
1009,470,Bindki
1010,147,Bindranavagarh(Gariyaband)
1011,471,Binika
1012,255,Binjharpur
1013,472,Binpur - I
1014,472,Binpur - II
1015,471,Biramaharajpur
1016,343,Biramitrapur
1017,92,Biraul
1018,121,Birhu Kalan
1019,9,Biridi
1020,357,Birkur
1021,291,Birni
1022,473,Bironkhal
1023,254,Birpur
1024,300,Birsa
1025,116,Birsinghpur
1026,115,Bisalpur
1027,469,Bisauli
1028,172,Bisfi
1029,474,Bishalgarh
1030,124,Bishamakatak
1031,69,Bishnah
1032,475,Bishnupur
1033,384,Bishnupur - I
1034,384,Bishnupur - II
1035,476,Bishrampur
1036,374,Bishungarh
1037,87,Bishunpur
1038,368,Bishunpura
1039,258,Bisoi
1040,343,Bisra
1041,477,Bissau
1042,478,Biswan
1043,479,Biswanath
1044,480,Biswanathpur
1045,456,Bithan
1046,41,Bitra
1047,233,B.Kodur
1048,481,B.Kothakota
1049,407,BK Pora
1050,392,Boarijor
1051,30,Boath
1052,259,Bobbili
1053,239,Bochaha
1054,482,BODELI
1055,483,BODEN
1056,203,Bodhan
1057,120,Bodh Gaya
1058,174,Bodinayakanur
1059,484,Bodla
1060,411,Bodri
1061,112,Bodvad
1062,100,Bogole
1063,485,Boinpalli
1064,341,Boipariguda
1065,486,Boitamari
1066,487,Bokakhat
1067,305,Bokhara
1068,488,Boko
1069,55,Bolagad
1070,160,Bolani
1071,353,Bolba
1072,489,Boleng ADC
1073,113,Bollapalle
1074,490,Bolpur Sriniketan
1075,359,Bomaraspeta
1076,320,Bomdila HQ
1077,23,Bommalaramaram
1078,165,Bommanahal
1079,491,Bonakal
1080,343,Bondamunda
1081,259,Bondapalle
1082,266,Bondkalan ST
1083,486,Bongaigaon (Pt)
1084,138,Bongaon
1085,492,Bongkhar Circle
1086,365,Boniyar
1087,336,Bonli
1088,295,Boram
1089,493,Bordumsa ADC
1090,494,Borduria Circle
1091,47,Bori
1092,341,Boriguma
1093,370,Borio
1094,171,Borivali
1095,495,BOROBEKRA
1096,162,Borsad
1097,325,BORUM
1098,386,Botad
1099,496,Botsa
1100,231,Bounjwah
1101,23,B Pochampally
1102,221,Brahmagiri
1103,233,Brahmamgarimattam
1104,323,Brahmanigaon
1105,343,Brahmani Tarang
1106,329,Brahmapuri
1107,201,Brahmapur (M.Corp.)
1108,201,BRAHMAPUR SADAR
1109,165,Brahmasamudram
1110,303,BRAHMAVARA
1111,271,Brajarajnagar
1112,318,Buchinaidu Kandriga
1113,100,Buchireddipalem
1114,497,Budalur
1115,416,Budar
1116,469,Budaun
1117,407,Budgam
1118,384,Budge Budge - I
1119,384,Budge Budge - II
1120,498,Budhana
1121,499,Budhlada
1122,215,Budni
1123,406,Buggaram
1124,201,BUGUDA
1125,477,Buhana
1126,36,Bukkapatnam
1127,165,Bukkaraya Samudram
1128,188,Bulandshahr
1129,500,Buldana
1130,501,Bundi
1131,177,Bundu
1132,208,Bundwan
1133,502,BUNGTE CHIRU
1134,320,BURAGAON EAC
1135,122,BurdenP.S.
1136,243,Burdwan - I
1137,243,Burdwan - II
1138,99,Burgampahad
1139,503,Burhanpur
1140,249,Burhanpur
1141,503,Burhanpur nagar
1142,110,Burja
1143,54,Burla
1144,177,Burmu
1145,410,Burwan
1146,159,Butchayyapeta
1147,44,Buttayagudem
1148,372,Buxar
1149,256,Buxwaha
1150,504,Byadgi
1151,355,Campierganj
1152,505,Canacona
1153,384,Canning - I
1154,384,Canning - II
1155,506,Car Nicobar
1156,33,C.Belagal
1157,507,Chabua
1158,207,Chachaura
1159,79,Chachian
1160,244,Chachyot
1161,101,CHADACHAN
1162,79,Chadiyar
1163,407,Chadoora
1164,97,Chagalamarri
1165,168,Chagallu
1166,508,Chaglagam Circle
1167,163,Chaibasa
1168,509,Chail
1169,28,Chainpur
1170,476,Chainpur
1171,87,Chainpur
1172,373,Chakai
1173,323,Chakapada
1174,438,Chakarnagar
1175,510,Chakdah
1176,511,Chakia
1177,19,Chakia(Pipra)
1178,473,Chakisain
1179,372,Chakki
1180,512,Chakpikarong
1181,163,Chakradharpur
1182,513,Chakrata
1183,233,Chakrayapet
1184,3,Chaksu
1185,295,Chakulia
1186,48,Chakur
1187,514,Chalakkudy
1188,331,Chalgali
1189,112,Chalisgaon
1190,374,Chalkusa
1191,515,Challakere
1192,247,Challapalle
1193,201,CHAMAKHANDI
1194,516,Chamarajanagar
1195,488,Chamaria
1196,429,Chamba
1197,517,Chambang Circle
1198,164,Chamkaur Sahib
1199,29,Chamoli
1200,46,Chamorshi
1201,65,Champa
1202,363,Champawat
1203,518,Champhai
1204,502,CHAMPHAI
1205,160,Champua
1206,519,Chanakya Puri
1207,117,Chanan
1208,362,Chanan*
1209,520,Chanasma
1210,335,Chanchal - I
1211,335,Chanchal - II
1212,28,Chand
1213,119,Chand
1214,39,Chandabali
1215,521,Chandahandi
1216,55,Chandaka
1217,21,ChandamPeta
1218,419,Chandankiyari
1219,221,Chandanpur
1220,76,Chandarlapadu
1221,511,Chandauli
1222,522,Chandausi
1223,512,Chandel
1224,214,Chanderi
1225,64,Chandgad
1226,222,Chandi
1227,340,Chandia
1228,523,Chandigarh
1229,31,Chandil
1230,343,Chandiposh
1231,316,Chandipur
1232,424,Chandipur
1233,192,Chanditala - I
1234,192,Chanditala - II
1235,256,Chandla
1236,331,CHANDO
1237,460,Chandpur
1238,318,Chandragiri
1239,524,Chandrakona - I
1240,524,Chandrakona - II
1241,250,Chandrapur
1242,329,Chandrapur
1243,124,Chandrapur
1244,419,Chandrapura
1245,197,Chandra Sekhara Puram
1246,99,Chandrugonda
1247,258,Chandua
1248,203,Chandur
1249,21,Chandur
1250,13,Chandurbazar
1251,13,Chandur Railway
1252,485,Chandurthi
1253,289,Chandvad
1254,333,Chandwa
1255,525,Chandwara
1256,526,Changanassery
1257,493,Changlang HQ
1258,56,Changpang
1259,104,Changtongya
1260,177,Chanho
1261,527,Channagiri
1262,528,Channapatna
1263,529,Channapora
1264,106,Channarayapatna
1265,278,Chanpatia
1266,233,Chapad
1267,37,Chapar Pt
1268,149,Chapra
1269,510,Chapra
1270,14,Charakonda
1271,181,Charama
1272,54,Charamal
